,cosTBz,R2,chiProb,Ks_distChi,m_KSpipi,Mbc,isSignal
116,0.3252509,0.17670919,0.21588355,86.258766,2.5199525,5.2741733,1.0
117,0.4218476,0.21220493,0.61160415,924.2836,1.5450195,5.2808294,1.0
118,0.5135414,0.21014011,0.2782334,320.9222,1.4165636,5.2827034,1.0
119,0.034791585,0.22190984,0.7655574,96.7772,1.2560741,5.2797565,1.0
120,0.2272969,0.34765163,0.7250939,163.75822,1.239336,5.2802043,1.0
121,0.07900178,0.23387726,0.25756526,292.2509,1.705581,5.281654,1.0
122,0.30290788,0.11236699,0.57156855,143.61798,3.628858,5.2811213,1.0
123,0.7917947,0.3281839,0.5875907,1.3202876,3.8822737,5.2638645,0.0
124,0.29843447,0.18694162,0.016841194,6.095306,1.9899105,5.2766175,1.0
125,0.14931808,0.2943815,0.7427448,10.816335,2.4694738,5.2638226,0.0
